reward,step_time,total_stopped,total_wait_time
-15.0,1890.0,14,346.0
40.0,1895.0,12,278.0
68.0,1900.0,7,250.0
28.0,1905.0,1,216.0
34.0,1910.0,7,235.0
-19.0,1915.0,13,289.0
-54.0,1920.0,20,375.0
-86.0,1925.0,25,489.0
-114.0,1930.0,29,621.0
-132.0,1935.0,31,768.0
-147.0,1940.0,34,929.0
-161.0,1945.0,38,1113.0
-184.0,1950.0,38,1303.0
-190.0,1955.0,32,1356.0
-53.0,1960.0,25,1254.0
102.0,1965.0,17,1219.0
35.0,1970.0,12,1283.0
-64.0,1975.0,12,1339.0
-56.0,1980.0,12,1267.0
72.0,1985.0,11,1061.0
206.0,1990.0,10,1043.0
18.0,1995.0,12,1098.0
-55.0,2000.0,9,1015.0
83.0,2005.0,7,799.0
216.0,2010.0,7,828.0
-29.0,2015.0,10,876.0
-48.0,2020.0,16,946.0
-70.0,2025.0,16,892.0
54.0,2030.0,16,702.0
190.0,2035.0,11,433.0
269.0,2040.0,8,276.0
157.0,2045.0,2,225.0
51.0,2050.0,7,244.0
-19.0,2055.0,7,233.0
11.0,2060.0,3,168.0
65.0,2065.0,4,143.0
25.0,2070.0,6,168.0
-25.0,2075.0,8,161.0
7.0,2080.0,6,117.0
44.0,2085.0,2,109.0
8.0,2090.0,7,135.0
-26.0,2095.0,13,190.0
-55.0,2100.0,14,212.0
-22.0,2105.0,13,201.0
11.0,2110.0,14,248.0
-47.0,2115.0,12,315.0
-67.0,2120.0,8,311.0
4.0,2125.0,4,256.0
55.0,2130.0,3,176.0
80.0,2135.0,3,189.0
-13.0,2140.0,7,207.0
-18.0,2145.0,8,207.0
0.0,2150.0,3,161.0
46.0,2155.0,5,164.0
-3.0,2160.0,8,193.0
-29.0,2165.0,8,194.0
-1.0,2170.0,8,153.0
41.0,2175.0,7,182.0
-29.0,2180.0,10,220.0
-38.0,2185.0,10,219.0
1.0,2190.0,11,168.0
51.0,2195.0,10,138.0
30.0,2200.0,4,150.0
-12.0,2205.0,8,165.0
-15.0,2210.0,12,219.0
-54.0,2215.0,13,244.0
-25.0,2220.0,12,229.0
15.0,2225.0,11,199.0
30.0,2230.0,3,191.0
8.0,2235.0,7,210.0
-19.0,2240.0,13,266.0
-56.0,2245.0,14,286.0
-20.0,2250.0,10,227.0
59.0,2255.0,10,280.0
-53.0,2260.0,12,335.0
-55.0,2265.0,9,324.0
11.0,2270.0,7,259.0
65.0,2275.0,6,265.0
-6.0,2280.0,7,294.0
-29.0,2285.0,14,350.0
-56.0,2290.0,14,357.0
-7.0,2295.0,13,309.0
48.0,2300.0,8,326.0
-17.0,2305.0,13,379.0
-53.0,2310.0,8,368.0
11.0,2315.0,5,289.0
79.0,2320.0,8,318.0
-29.0,2325.0,11,362.0
-44.0,2330.0,10,344.0
18.0,2335.0,7,268.0
76.0,2340.0,5,262.0
6.0,2345.0,8,290.0
-28.0,2350.0,9,277.0
13.0,2355.0,5,206.0
