,step,total_stopped
2029,10450.0,61
2030,10455.0,57
2031,10460.0,54
2032,10465.0,76
2033,10470.0,87
2034,10475.0,88
2035,10480.0,51
2036,10485.0,57
2037,10490.0,58
2038,10495.0,62
2039,10500.0,44
2040,10505.0,55
2041,10510.0,54
2042,10515.0,59
2043,10520.0,54
2044,10525.0,42
2045,10530.0,54
2046,10535.0,62
2047,10540.0,52
2048,10545.0,62
2049,10550.0,56
2050,10555.0,75
2051,10560.0,70
2052,10565.0,46
2053,10570.0,55
2054,10575.0,66
2055,10580.0,69
2056,10585.0,56
2057,10590.0,51
2058,10595.0,58
2059,10600.0,63
2060,10605.0,70
2061,10610.0,63
2062,10615.0,58
2063,10620.0,65
2064,10625.0,60
2065,10630.0,59
2066,10635.0,61
2067,10640.0,76
2068,10645.0,61
2069,10650.0,48
2070,10655.0,65
2071,10660.0,67
2072,10665.0,59
2073,10670.0,48
2074,10675.0,65
2075,10680.0,60
2076,10685.0,57
2077,10690.0,51
2078,10695.0,65
2079,10700.0,37
2080,10705.0,50
2081,10710.0,61
2082,10715.0,70
2083,10720.0,46
2084,10725.0,38
2085,10730.0,51
2086,10735.0,76
2087,10740.0,53
2088,10745.0,48
2089,10750.0,46
2090,10755.0,71
2091,10760.0,53
2092,10765.0,53
2093,10770.0,46
2094,10775.0,59
2095,10780.0,63
2096,10785.0,49
2097,10790.0,45
2098,10795.0,62
2099,10800.0,55
2100,10805.0,53
2101,10810.0,47
2102,10815.0,55
2103,10820.0,76
2104,10825.0,57
2105,10830.0,51
2106,10835.0,63
2107,10840.0,61
2108,10845.0,58
2109,10850.0,48
2110,10855.0,69
2111,10860.0,52
2112,10865.0,60
2113,10870.0,40
2114,10875.0,64
2115,10880.0,49
2116,10885.0,60
2117,10890.0,50
2118,10895.0,53
2119,10900.0,50
2120,10905.0,61
2121,10910.0,48
2122,10915.0,46
2123,10920.0,55
2124,10925.0,50
2125,10930.0,51
2126,10935.0,48
2127,10940.0,56
2128,10945.0,49
2129,10950.0,45
2130,10955.0,40
2131,10960.0,54
2132,10965.0,51
2133,10970.0,44
2134,10975.0,46
2135,10980.0,44
2136,10985.0,47
2137,10990.0,35
2138,10995.0,39
2139,11000.0,50
2140,11005.0,39
2141,11010.0,41
2142,11015.0,40
2143,11020.0,52
2144,11025.0,65
2145,11030.0,55
2146,11035.0,48
2147,11040.0,46
2148,11045.0,46
2149,11050.0,49
2150,11055.0,51
2151,11060.0,56
2152,11065.0,52
2153,11070.0,57
2154,11075.0,45
2155,11080.0,66
2156,11085.0,48
2157,11090.0,50
2158,11095.0,54
2159,11100.0,55
2160,11105.0,50
2161,11110.0,56
2162,11115.0,48
2163,11120.0,52
2164,11125.0,42
2165,11130.0,56
2166,11135.0,62
2167,11140.0,62
2168,11145.0,55
2169,11150.0,44
2170,11155.0,48
2171,11160.0,61
2172,11165.0,57
2173,11170.0,59
2174,11175.0,47
2175,11180.0,60
2176,11185.0,51
2177,11190.0,60
2178,11195.0,62
2179,11200.0,55
2180,11205.0,52
2181,11210.0,40
2182,11215.0,38
2183,11220.0,35
2184,11225.0,48
2185,11230.0,50
2186,11235.0,60
2187,11240.0,37
2188,11245.0,41
2189,11250.0,40
2190,11255.0,53
2191,11260.0,47
2192,11265.0,43
2193,11270.0,38
2194,11275.0,52
2195,11280.0,38
2196,11285.0,50
2197,11290.0,37
2198,11295.0,49
2199,11300.0,58
2200,11305.0,43
2201,11310.0,56
2202,11315.0,40
2203,11320.0,56
2204,11325.0,44
2205,11330.0,54
2206,11335.0,39
2207,11340.0,61
2208,11345.0,49
2209,11350.0,34
2210,11355.0,43
2211,11360.0,51
2212,11365.0,52
2213,11370.0,43
2214,11375.0,45
2215,11380.0,54
2216,11385.0,42
2217,11390.0,43
2218,11395.0,38
2219,11400.0,61
2220,11405.0,52
2221,11410.0,48
2222,11415.0,35
2223,11420.0,37
2224,11425.0,63
2225,11430.0,42
2226,11435.0,39
2227,11440.0,50
2228,11445.0,61
2229,11450.0,52
2230,11455.0,35
2231,11460.0,40
2232,11465.0,41
2233,11470.0,49
2234,11475.0,33
2235,11480.0,56
2236,11485.0,48
2237,11490.0,61
2238,11495.0,51
2239,11500.0,54
2240,11505.0,54
2241,11510.0,53
2242,11515.0,44
2243,11520.0,43
2244,11525.0,49
2245,11530.0,51
2246,11535.0,44
2247,11540.0,35
2248,11545.0,59
2249,11550.0,49
2250,11555.0,37
2251,11560.0,34
2252,11565.0,66
2253,11570.0,47
2254,11575.0,39
2255,11580.0,32
2256,11585.0,61
2257,11590.0,48
2258,11595.0,39
2259,11600.0,41
2260,11605.0,53
2261,11610.0,47
2262,11615.0,41
2263,11620.0,29
2264,11625.0,46
2265,11630.0,46
2266,11635.0,48
2267,11640.0,36
2268,11645.0,52
2269,11650.0,36
2270,11655.0,56
2271,11660.0,39
2272,11665.0,45
2273,11670.0,36
2274,11675.0,51
2275,11680.0,47
2276,11685.0,39
2277,11690.0,44
2278,11695.0,42
2279,11700.0,37
2280,11705.0,33
2281,11710.0,47
2282,11715.0,50
2283,11720.0,45
2284,11725.0,46
2285,11730.0,66
2286,11735.0,71
2287,11740.0,47
2288,11745.0,38
2289,11750.0,41
2290,11755.0,44
2291,11760.0,43
2292,11765.0,39
2293,11770.0,27
2294,11775.0,37
2295,11780.0,49
2296,11785.0,32
2297,11790.0,29
2298,11795.0,37
2299,11800.0,46
2300,11805.0,36
2301,11810.0,29
2302,11815.0,45
2303,11820.0,43
2304,11825.0,40
2305,11830.0,29
2306,11835.0,25
2307,11840.0,35
2308,11845.0,37
2309,11850.0,34
2310,11855.0,30
2311,11860.0,40
2312,11865.0,50
2313,11870.0,36
2314,11875.0,32
2315,11880.0,42
2316,11885.0,57
2317,11890.0,45
2318,11895.0,42
2319,11900.0,44
2320,11905.0,47
2321,11910.0,46
2322,11915.0,45
2323,11920.0,45
2324,11925.0,48
2325,11930.0,46
2326,11935.0,50
2327,11940.0,49
2328,11945.0,39
2329,11950.0,39
2330,11955.0,46
2331,11960.0,53
2332,11965.0,50
2333,11970.0,45
2334,11975.0,41
2335,11980.0,54
2336,11985.0,41
2337,11990.0,42
2338,11995.0,48
2339,12000.0,65
2340,12005.0,48
2341,12010.0,42
2342,12015.0,42
2343,12020.0,48
2344,12025.0,40
2345,12030.0,30
2346,12035.0,37
2347,12040.0,45
2348,12045.0,52
2349,12050.0,53
2350,12055.0,37
2351,12060.0,32
2352,12065.0,45
2353,12070.0,63
2354,12075.0,56
2355,12080.0,45
2356,12085.0,30
2357,12090.0,47
2358,12095.0,39
2359,12100.0,49
2360,12105.0,39
2361,12110.0,50
2362,12115.0,35
2363,12120.0,37
2364,12125.0,31
2365,12130.0,56
2366,12135.0,45
2367,12140.0,43
2368,12145.0,31
2369,12150.0,51
2370,12155.0,42
2371,12160.0,54
2372,12165.0,38
2373,12170.0,46
2374,12175.0,45
2375,12180.0,53
2376,12185.0,54
2377,12190.0,54
2378,12195.0,48
2379,12200.0,56
2380,12205.0,54
2381,12210.0,48
2382,12215.0,41
2383,12220.0,54
2384,12225.0,65
2385,12230.0,56
2386,12235.0,37
2387,12240.0,65
2388,12245.0,68
2389,12250.0,69
2390,12255.0,52
2391,12260.0,50
2392,12265.0,48
2393,12270.0,54
2394,12275.0,62
2395,12280.0,45
2396,12285.0,45
2397,12290.0,39
2398,12295.0,59
2399,12300.0,53
2400,12305.0,51
2401,12310.0,49
2402,12315.0,64
2403,12320.0,57
2404,12325.0,55
2405,12330.0,48
2406,12335.0,62
2407,12340.0,58
2408,12345.0,68
2409,12350.0,47
2410,12355.0,50
2411,12360.0,60
2412,12365.0,68
2413,12370.0,54
2414,12375.0,55
2415,12380.0,65
2416,12385.0,51
2417,12390.0,46
2418,12395.0,50
2419,12400.0,44
2420,12405.0,53
2421,12410.0,49
2422,12415.0,48
2423,12420.0,51
2424,12425.0,58
2425,12430.0,61
2426,12435.0,53
2427,12440.0,44
2428,12445.0,58
2429,12450.0,62
2430,12455.0,46
2431,12460.0,41
2432,12465.0,60
2433,12470.0,61
2434,12475.0,45
2435,12480.0,60
2436,12485.0,63
2437,12490.0,70
2438,12495.0,51
2439,12500.0,53
2440,12505.0,45
2441,12510.0,60
2442,12515.0,69
2443,12520.0,61
2444,12525.0,58
2445,12530.0,50
2446,12535.0,60
2447,12540.0,57
2448,12545.0,69
2449,12550.0,50
2450,12555.0,54
2451,12560.0,54
2452,12565.0,58
2453,12570.0,48
2454,12575.0,47
2455,12580.0,59
2456,12585.0,66
2457,12590.0,53
2458,12595.0,52
2459,12600.0,52
2460,12605.0,71
2461,12610.0,60
2462,12615.0,47
2463,12620.0,42
2464,12625.0,66
2465,12630.0,70
2466,12635.0,66
2467,12640.0,47
2468,12645.0,56
2469,12650.0,60
2470,12655.0,51
2471,12660.0,40
2472,12665.0,54
2473,12670.0,58
2474,12675.0,50
2475,12680.0,48
2476,12685.0,63
2477,12690.0,59
2478,12695.0,56
2479,12700.0,44
2480,12705.0,54
2481,12710.0,56
2482,12715.0,61
2483,12720.0,58
2484,12725.0,51
2485,12730.0,54
2486,12735.0,51
2487,12740.0,49
2488,12745.0,52
2489,12750.0,54
2490,12755.0,57
2491,12760.0,49
2492,12765.0,49
2493,12770.0,55
2494,12775.0,57
2495,12780.0,60
2496,12785.0,46
2497,12790.0,60
2498,12795.0,65
2499,12800.0,42
2500,12805.0,38
2501,12810.0,36
2502,12815.0,50
2503,12820.0,50
2504,12825.0,48
2505,12830.0,50
2506,12835.0,72
2507,12840.0,48
2508,12845.0,45
2509,12850.0,41
2510,12855.0,65
2511,12860.0,45
2512,12865.0,46
2513,12870.0,46
2514,12875.0,58
2515,12880.0,50
2516,12885.0,43
2517,12890.0,49
2518,12895.0,55
2519,12900.0,42
2520,12905.0,43
2521,12910.0,46
2522,12915.0,49
2523,12920.0,54
2524,12925.0,46
2525,12930.0,49
2526,12935.0,49
2527,12940.0,51
2528,12945.0,51
2529,12950.0,47
2530,12955.0,42
2531,12960.0,58
2532,12965.0,54
2533,12970.0,43
2534,12975.0,38
2535,12980.0,40
2536,12985.0,60
2537,12990.0,41
2538,12995.0,44
2539,13000.0,43
2540,13005.0,63
2541,13010.0,39
2542,13015.0,37
2543,13020.0,37
2544,13025.0,64
2545,13030.0,48
2546,13035.0,41
2547,13040.0,42
2548,13045.0,51
2549,13050.0,50
2550,13055.0,42
2551,13060.0,46
2552,13065.0,52
2553,13070.0,45
2554,13075.0,34
2555,13080.0,28
2556,13085.0,41
2557,13090.0,38
2558,13095.0,33
2559,13100.0,29
2560,13105.0,40
2561,13110.0,42
2562,13115.0,36
2563,13120.0,32
2564,13125.0,37
2565,13130.0,42
2566,13135.0,33
2567,13140.0,35
2568,13145.0,47
2569,13150.0,50
2570,13155.0,40
2571,13160.0,41
2572,13165.0,49
2573,13170.0,44
2574,13175.0,35
2575,13180.0,36
2576,13185.0,44
2577,13190.0,42
2578,13195.0,38
2579,13200.0,44
2580,13205.0,51
2581,13210.0,40
2582,13215.0,41
2583,13220.0,41
2584,13225.0,48
2585,13230.0,38
2586,13235.0,42
2587,13240.0,38
2588,13245.0,48
2589,13250.0,52
2590,13255.0,42
2591,13260.0,38
2592,13265.0,47
2593,13270.0,53
2594,13275.0,42
2595,13280.0,38
2596,13285.0,52
2597,13290.0,47
2598,13295.0,46
2599,13300.0,38
2600,13305.0,46
