,buffer_size,step_time,total_stopped,total_wait_time
725,39,3930.0,137,13432.0
726,39,3935.0,145,12451.0
727,39,3940.0,139,11759.0
728,39,3945.0,142,11599.0
729,39,3950.0,143,11595.0
730,39,3955.0,138,11381.0
731,39,3960.0,144,11081.0
732,39,3965.0,148,10786.0
733,39,3970.0,163,10496.0
734,39,3975.0,160,10590.0
735,39,3980.0,140,11090.0
736,39,3985.0,144,11463.0
737,39,3990.0,144,11806.0
738,39,3995.0,159,12282.0
739,39,4000.0,151,12400.0
740,39,4005.0,141,11710.0
741,39,4010.0,135,11822.0
742,39,4015.0,147,12147.0
743,39,4020.0,149,12270.0
744,39,4025.0,111,11853.0
745,39,4030.0,77,11774.0
746,39,4035.0,95,11612.0
747,39,4040.0,125,11330.0
748,39,4045.0,131,11406.0
749,39,4050.0,137,11375.0
750,39,4055.0,151,11409.0
751,39,4060.0,154,11432.0
752,39,4065.0,147,11616.0
753,39,4070.0,123,11435.0
754,39,4075.0,123,11323.0
755,39,4080.0,134,10836.0
756,39,4085.0,149,10609.0
757,39,4090.0,148,11205.0
758,39,4095.0,169,11791.0
759,39,4100.0,180,11833.0
760,39,4105.0,207,11802.0
761,39,4110.0,175,12041.0
762,39,4115.0,156,11919.0
763,39,4120.0,164,11523.0
764,39,4125.0,174,11456.0
765,39,4130.0,182,11928.0
766,39,4135.0,192,12535.0
767,39,4140.0,169,12571.0
768,39,4145.0,169,12058.0
769,39,4150.0,163,12013.0
770,39,4155.0,143,12405.0
771,39,4160.0,124,12312.0
772,39,4165.0,127,12488.0
773,39,4170.0,142,12733.0
774,39,4175.0,136,13271.0
775,39,4180.0,156,13202.0
776,39,4185.0,172,12606.0
777,39,4190.0,175,12709.0
778,39,4195.0,155,12484.0
779,39,4200.0,155,12767.0
780,39,4205.0,164,13076.0
781,39,4210.0,190,13550.0
782,39,4215.0,200,13589.0
783,39,4220.0,200,13393.0
784,39,4225.0,198,13228.0
785,39,4230.0,200,13355.0
786,39,4235.0,189,14092.0
787,39,4240.0,187,14773.0
788,39,4245.0,186,15235.0
789,39,4250.0,166,15114.0
790,39,4255.0,176,14754.0
791,39,4260.0,165,14564.0
792,39,4265.0,170,14293.0
793,39,4270.0,179,13231.0
794,39,4275.0,177,12271.0
795,39,4280.0,174,12351.0
796,39,4285.0,165,12227.0
797,39,4290.0,166,11905.0
798,39,4295.0,165,11365.0
799,39,4300.0,151,11121.0
800,39,4305.0,142,10743.0
801,39,4310.0,146,10494.0
802,39,4315.0,150,11086.0
803,39,4320.0,132,11421.0
804,39,4325.0,135,11565.0
805,39,4330.0,138,11382.0
806,39,4335.0,153,11751.0
807,39,4340.0,153,11859.0
808,39,4345.0,139,11725.0
809,39,4350.0,149,11630.0
810,39,4355.0,146,11803.0
811,39,4360.0,178,12238.0
812,39,4365.0,160,12233.0
813,39,4370.0,161,11829.0
814,39,4375.0,179,11822.0
815,39,4380.0,193,12157.0
816,39,4385.0,219,13005.0
817,39,4390.0,223,13277.0
818,39,4395.0,217,13265.0
819,39,4400.0,196,13592.0
820,39,4405.0,179,14082.0
821,39,4410.0,177,13578.0
822,39,4415.0,163,12946.0
823,39,4420.0,160,12741.0
824,39,4425.0,155,12330.0
825,39,4430.0,163,12788.0
826,39,4435.0,159,12987.0
827,39,4440.0,171,12776.0
828,39,4445.0,171,12931.0
829,39,4450.0,180,12804.0
830,39,4455.0,156,13051.0
831,39,4460.0,156,12411.0
832,39,4465.0,144,12526.0
833,39,4470.0,151,11869.0
834,39,4475.0,147,11543.0
835,40,4480.0,145,11851.0
836,41,4485.0,125,12170.0
837,43,4490.0,126,12218.0
838,43,4495.0,115,11924.0
839,43,4500.0,137,11824.0
840,43,4505.0,129,11992.0
841,43,4510.0,141,11993.0
842,43,4515.0,132,12174.0
843,45,4520.0,126,11870.0
844,47,4525.0,141,10918.0
845,48,4530.0,144,11096.0
846,49,4535.0,124,10865.0
847,49,4540.0,119,10239.0
848,49,4545.0,140,10925.0
849,49,4550.0,156,11050.0
850,49,4555.0,163,10880.0
851,49,4560.0,172,11010.0
852,49,4565.0,177,11311.0
853,49,4570.0,169,11819.0
854,49,4575.0,157,12658.0
855,49,4580.0,124,12948.0
856,49,4585.0,116,13641.0
857,49,4590.0,129,13383.0
858,49,4595.0,142,12735.0
859,49,4600.0,145,12889.0
860,49,4605.0,158,13623.0
861,49,4610.0,170,13959.0
862,49,4615.0,170,13789.0
863,49,4620.0,178,13770.0
864,49,4625.0,174,13229.0
865,49,4630.0,157,12853.0
866,49,4635.0,161,12290.0
867,49,4640.0,162,11448.0
868,49,4645.0,158,11034.0
869,49,4650.0,140,10125.0
870,49,4655.0,112,9911.0
871,49,4660.0,130,10160.0
872,49,4665.0,168,10240.0
873,49,4670.0,160,9457.0
874,49,4675.0,142,9279.0
875,49,4680.0,121,9313.0
876,49,4685.0,96,9623.0
