,buffer_size,step_time,total_stopped,total_wait_time
500,978,2805.0,134,7959.0
501,978,2810.0,125,8221.0
502,978,2815.0,128,8432.0
503,978,2820.0,148,8478.0
504,979,2825.0,143,8258.0
505,981,2830.0,146,8299.0
506,984,2835.0,132,8716.0
507,986,2840.0,130,9310.0
508,989,2845.0,113,9624.0
509,989,2850.0,103,9335.0
510,990,2855.0,95,9022.0
511,991,2860.0,104,8838.0
512,993,2865.0,102,9123.0
513,993,2870.0,94,8801.0
514,994,2875.0,93,8195.0
515,996,2880.0,77,7771.0
516,999,2885.0,78,7714.0
517,1001,2890.0,81,7936.0
518,1001,2895.0,69,7881.0
519,1001,2900.0,82,7054.0
520,1001,2905.0,91,6823.0
521,1001,2910.0,104,6675.0
522,1001,2915.0,100,6833.0
523,1001,2920.0,108,7122.0
524,1001,2925.0,99,7124.0
525,1003,2930.0,97,6917.0
526,1006,2935.0,99,6822.0
527,1008,2940.0,79,6659.0
528,1008,2945.0,70,6670.0
529,1008,2950.0,71,6976.0
530,1011,2955.0,95,7092.0
531,1010,2960.0,117,7476.0
532,1011,2965.0,123,7848.0
533,1011,2970.0,135,8035.0
534,1011,2975.0,134,8089.0
535,1011,2980.0,148,8280.0
536,1011,2985.0,177,8810.0
537,1011,2990.0,174,9409.0
538,1011,2995.0,129,9347.0
539,1011,3000.0,99,9173.0
540,1011,3005.0,91,8658.0
541,1013,3010.0,93,8276.0
542,1016,3015.0,103,8222.0
543,1018,3020.0,123,7730.0
544,1018,3025.0,134,7835.0
545,1018,3030.0,112,7979.0
546,1018,3035.0,115,8131.0
547,1018,3040.0,123,8711.0
548,1021,3045.0,111,8765.0
549,1021,3050.0,107,8805.0
550,1022,3055.0,114,8587.0
551,1022,3060.0,124,8613.0
552,1022,3065.0,141,8936.0
553,1022,3070.0,148,9328.0
554,1024,3075.0,154,9778.0
555,1025,3080.0,147,10460.0
556,1026,3085.0,136,10424.0
557,1027,3090.0,142,10224.0
558,1027,3095.0,145,10232.0
559,1028,3100.0,134,10134.0
560,1032,3105.0,118,10051.0
561,1036,3110.0,99,9820.0
562,1042,3115.0,103,9284.0
563,1044,3120.0,97,9302.0
564,1048,3125.0,97,9615.0
565,1048,3130.0,97,9478.0
566,1053,3135.0,94,9070.0
567,1056,3140.0,90,8886.0
568,1059,3145.0,87,9256.0
569,1059,3150.0,102,9565.0
570,1059,3155.0,104,9508.0
571,1059,3160.0,103,9135.0
