分钟,路口号+车道号,车流量
2024-10-20 04:55:00,SN,1
2024-10-20 04:56:00,WE,2
2024-10-20 04:57:00,NS,1
2024-10-20 04:57:00,SN,1
2024-10-20 04:57:00,WE,4
2024-10-20 04:57:00,WN,1
2024-10-20 04:58:00,SN,2
2024-10-20 04:59:00,EW,2
2024-10-20 04:59:00,NS,1
2024-10-20 05:00:00,WE,3
2024-10-20 05:01:00,EW,1
2024-10-20 05:01:00,NS,5
2024-10-20 05:01:00,WE,3
2024-10-20 05:02:00,NS,1
2024-10-20 05:03:00,SN,3
2024-10-20 05:03:00,WE,1
2024-10-20 05:03:00,WN,1
2024-10-20 05:04:00,NS,2
2024-10-20 05:05:00,EW,1
2024-10-20 05:05:00,NS,1
2024-10-20 05:05:00,SN,2
2024-10-20 05:05:00,WE,1
2024-10-20 05:06:00,NS,2
2024-10-20 05:06:00,SN,1
2024-10-20 05:06:00,WE,2
2024-10-20 05:07:00,EW,1
2024-10-20 05:07:00,SN,2
2024-10-20 05:07:00,SW,2
2024-10-20 05:07:00,WE,1
2024-10-20 05:08:00,ES,1
2024-10-20 05:08:00,NS,1
2024-10-20 05:08:00,SN,3
2024-10-20 05:08:00,WE,3
2024-10-20 05:09:00,NS,1
2024-10-20 05:09:00,SN,1
2024-10-20 05:09:00,WE,1
2024-10-20 05:10:00,ES,1
2024-10-20 05:10:00,NS,1
2024-10-20 05:10:00,WE,3
2024-10-20 05:11:00,NS,1
2024-10-20 05:11:00,SN,2
2024-10-20 05:11:00,WE,1
2024-10-20 05:11:00,WN,1
2024-10-20 05:12:00,EW,1
2024-10-20 05:12:00,SN,2
2024-10-20 05:13:00,EW,1
2024-10-20 05:13:00,NE,1
2024-10-20 05:13:00,NS,1
2024-10-20 05:13:00,WE,1
2024-10-20 05:14:00,NS,2
2024-10-20 05:14:00,SN,1
2024-10-20 05:15:00,EW,1
2024-10-20 05:15:00,NS,3
2024-10-20 05:15:00,SN,1
2024-10-20 05:15:00,WE,1
2024-10-20 05:17:00,NS,2
2024-10-20 05:17:00,SN,1
2024-10-20 05:17:00,SW,1
2024-10-20 05:18:00,NS,1
2024-10-20 05:18:00,SN,1
2024-10-20 05:18:00,SW,1
2024-10-20 05:18:00,WE,1
2024-10-20 05:19:00,NS,1
2024-10-20 05:20:00,EW,2
2024-10-20 05:20:00,NS,1
2024-10-20 05:20:00,SW,2
2024-10-20 05:20:00,WE,1
2024-10-20 05:21:00,SN,1
2024-10-20 05:21:00,SW,1
2024-10-20 05:21:00,WE,2
2024-10-20 05:22:00,EW,1
2024-10-20 05:22:00,NE,2
2024-10-20 05:22:00,SN,1
2024-10-20 05:22:00,SW,4
2024-10-20 05:22:00,WN,1
2024-10-20 05:23:00,NS,1
2024-10-20 05:23:00,SN,3
2024-10-20 05:23:00,SW,3
2024-10-20 05:23:00,WE,1
2024-10-20 05:24:00,EW,3
2024-10-20 05:24:00,WE,1
2024-10-20 05:25:00,ES,1
2024-10-20 05:25:00,EW,1
2024-10-20 05:25:00,NS,2
2024-10-20 05:25:00,SN,3
2024-10-20 05:25:00,SW,1
2024-10-20 05:25:00,WE,2
2024-10-20 05:26:00,EW,1
2024-10-20 05:26:00,WE,1
2024-10-20 05:27:00,NS,2
2024-10-20 05:27:00,SW,1
2024-10-20 05:27:00,WE,2
2024-10-20 05:28:00,ES,1
2024-10-20 05:28:00,SW,1
2024-10-20 05:28:00,WE,1
2024-10-20 05:29:00,NS,2
2024-10-20 05:29:00,SW,2
2024-10-20 05:29:00,WE,3
2024-10-20 05:30:00,ES,1
2024-10-20 05:30:00,EW,2
2024-10-20 05:30:00,NS,3
2024-10-20 05:30:00,SN,1
2024-10-20 05:30:00,WE,2
2024-10-20 05:30:00,WN,1
2024-10-20 05:31:00,EW,1
2024-10-20 05:31:00,SW,1
2024-10-20 05:31:00,WE,1
2024-10-20 05:31:00,WN,1
2024-10-20 05:32:00,ES,1
2024-10-20 05:32:00,EW,1
2024-10-20 05:32:00,NS,2
2024-10-20 05:33:00,NS,4
2024-10-20 05:33:00,SN,1
2024-10-20 05:33:00,SW,1
2024-10-20 05:33:00,WE,1
2024-10-20 05:34:00,NS,2
2024-10-20 05:34:00,SN,1
2024-10-20 05:34:00,SW,2
2024-10-20 05:34:00,WE,1
2024-10-20 05:34:00,WN,1
2024-10-20 05:35:00,EW,1
2024-10-20 05:35:00,SN,2
2024-10-20 05:35:00,SW,1
2024-10-20 05:36:00,EW,3
2024-10-20 05:36:00,SN,1
2024-10-20 05:36:00,SW,1
2024-10-20 05:37:00,NS,2
2024-10-20 05:37:00,SW,1
2024-10-20 05:38:00,EW,1
2024-10-20 05:38:00,NS,1
2024-10-20 05:38:00,SN,4
2024-10-20 05:38:00,SW,2
2024-10-20 05:39:00,ES,1
